Sr. No.,State,Total Electric Vehicle,Total Non-Electric Vehicle,Total,Area (km2),Non_EV_per_Area
1,Andaman and Nicobar Islands,162,146945.0,"1,47,107",8249.0,17.81367438477391
2,Andhra Pradesh,,,,162975.0,0.0
3,Arunachal Pradesh,20,252965.0,"2,52,985",83743.0,3.020730090873267
4,Assam,64766,4677053.0,"47,41,819",78438.0,59.62738723577858
5,Bihar,83335,10407078.0,"1,04,90,413",94163.0,110.52194598727738
6,Chandigarh,2812,746881.0,"7,49,693",114.0,6551.587719298245
7,Chhattisgarh,20966,6836200.0,"68,57,166",135192.0,50.566601574057636
8,National Capital Territoryâ€“Delhi,"1,56,393",7685600.0,"78,41,993",1484.0,5178.975741239892
9,Goa,3870,1071570.0,"10,75,440",3702.0,289.45705024311184
10,Gujarat,45272,20605484.0,"2,06,50,756",196024.0,105.11714892054034
11,Haryana,37035,10778270.0,"1,08,15,305",44212.0,243.7860761784131
12,Himachal Pradesh,1175,1964754.0,"19,65,929",55673.0,35.290966895981896
13,Jammu and Kashmir,2941,1869962.0,"18,72,903",,0.0
14,Jharkhand,16811,6486937.0,"65,03,748",79716.0,81.3755958653219
15,Karnataka,"1,20,532",26870303.0,"2,69,90,835",191791.0,140.10200165805486
16,Kerala,30775,15774078.0,"1,58,04,853",38863.0,405.8893549134138
17,Ladakh,26,38302.0,38328,,0.0
18,Lakshadweep,,,,32.0,0.0
19,Madhya Pradesh,,,,308252.0,0.0
20,Maharashtra,"1,16,646",31058990.0,"3,11,75,636",307713.0,100.93492962598265
21,Manipur,586,499324.0,"4,99,910",22327.0,22.36413311237515
22,Meghalaya,49,459001.0,"4,59,050",22429.0,20.464621695126844
23,Mizoram,21,315626.0,"3,15,647",21081.0,14.972060148949291
24,Nagaland,58,339129.0,"3,39,187",16579.0,20.45533506242837
25,Odisha,23371,9845073.0,"98,68,444",155707.0,63.228197833109625
26,Puducherry,2149,1213735.0,"12,15,884",479.0,2533.893528183716
27,Punjab,14804,12463019.0,"1,24,77,823",50362.0,247.46870656447322
28,Rajasthan,81338,17327388.0,"1,74,08,726",342239.0,50.62949576173376
29,Sikkim,21,97189.0,97210,7096.0,13.69630777903044
30,Tamil Nadu,82051,29842376.0,"2,99,24,427",130058.0,229.4543665134017
31,Telangana,,,,112077.0,0.0
32,Tripura,9262,650026.0,"6,59,288",10491.0,61.960346964064435
33,Dadra and Nagar Haveli and Daman and Diu,183,307671.0,"3,07,854",603.0,510.23383084577114
34,Uttarakhand,31008,3312041.0,"33,43,049",53483.0,61.92698614513023
35,Uttar Pradesh,"3,37,180",40092490.0,"4,04,29,670",240928.0,166.4085950989507
36,West Bengal,48767,14134171.0,"1,41,82,938",88752.0,159.2546759509645
